gene_id,Control_1,Control_2,Control_3,High_nitrate_1,High_nitrate_2,High_nitrate_3
SYN_Solyc_0040,6.05822331,6.21547904,6.18787673,4.33163990,4.47710623,4.59336821
SYN_Solyc_0041,11.54867130,11.50239396,11.58262932,11.50157614,11.74770117,11.40168346
SYN_Solyc_0042,6.30830100,6.35054857,6.14542235,6.30540474,6.58839363,6.50046136
SYN_Solyc_0043,9.10552910,9.37004463,9.56354370,9.42481347,9.54689275,9.27734865
SYN_Solyc_0044,6.72857847,6.62473102,6.90304402,6.60852679,6.89393436,6.27990658
SYN_Solyc_0045,9.89081685,10.44785203,10.38263844,10.49812587,10.53219825,10.14792406
SYN_Solyc_0046,8.19742802,8.27962155,7.81053646,7.87354116,8.17413681,7.90612794
SYN_Solyc_0047,11.18311232,11.28432442,11.88271385,11.45849889,11.53145443,11.52364235
SYN_Solyc_0048,9.00499949,9.61546817,9.15858198,9.10008842,9.39809866,9.02258309
SYN_Solyc_0049,9.31118024,8.70770071,9.32564943,9.40728669,9.28081466,9.13128015
SYN_Solyc_0050,10.97417062,10.93661545,10.93370153,10.84631802,11.30309768,11.09370396
SYN_Solyc_0051,6.46405841,6.24062565,6.53180530,6.61230175,6.38669149,6.71072113
SYN_Solyc_0052,11.63274266,11.78659191,11.36832483,11.72624507,11.48590202,11.77780430
SYN_Solyc_0053,9.15188461,9.71402495,8.98594540,9.63492409,9.30922845,9.59267042
SYN_Solyc_0054,7.85157452,8.23334126,7.84329107,7.93936200,8.17167364,7.62545233
SYN_Solyc_0055,10.03658456,10.25089249,10.49747656,10.05477253,10.40651125,10.10445564
SYN_Solyc_0056,8.47826420,7.97410788,8.03492220,7.99709639,7.99309228,7.91891085
SYN_Solyc_0057,9.73839836,9.76229122,9.66459953,9.96972988,9.37629400,9.83387988
SYN_Solyc_0058,9.16612588,8.91461216,8.46730407,8.61979140,8.99830496,8.30406461
SYN_Solyc_0059,10.45164876,10.79942239,10.82027271,10.97365902,10.73514946,10.56125875
SYN_Solyc_0060,10.71109447,10.88337900,11.17715635,11.29435420,10.90242059,11.11647482
SYN_Solyc_0061,8.82004555,8.31663995,8.17964246,8.81184602,8.49482704,8.37677001
SYN_Solyc_0062,6.36065887,6.70615226,6.46413449,6.51572335,6.57161110,6.76122017
SYN_Solyc_0063,11.94787476,11.59676705,11.75746901,11.59391945,11.32024109,11.71913529
SYN_Solyc_0064,11.30405195,10.82180532,11.11260029,11.43709455,10.87261350,11.19961648
SYN_Solyc_0065,7.38697763,7.45368102,7.54710742,7.53451927,7.69777677,7.85362592
SYN_Solyc_0066,11.25565544,11.30166264,11.32483005,11.16084220,11.25496446,11.27124537
SYN_Solyc_0067,7.05522212,6.53614020,7.20024832,6.96578179,6.83589396,6.88276232
SYN_Solyc_0068,6.14759593,6.78151693,6.38549288,6.34952696,6.50873270,6.61102209
SYN_Solyc_0069,8.47882795,8.46405078,8.58020087,8.19367575,8.88960211,8.50066598
SYN_Solyc_0070,9.31903435,8.98501191,9.08798218,9.10885066,9.33570605,9.36005002
SYN_Solyc_0071,10.90477703,11.08493630,10.86767974,10.92558634,10.55625463,10.94598500
SYN_Solyc_0072,10.06337590,10.65820134,10.26489414,10.40729542,10.75028770,10.36487206
SYN_Solyc_0073,10.86141803,11.35142142,10.79671738,10.77265854,10.85346450,10.92729875
SYN_Solyc_0074,10.80334138,10.79011299,10.94494652,11.07621559,11.17095303,10.62508853
SYN_Solyc_0075,11.49070434,11.36240315,11.33493459,11.05987996,11.36811052,11.32040807
SYN_Solyc_0076,7.01006809,6.97210696,7.05275436,7.30752703,7.26888067,7.14856872
SYN_Solyc_0077,7.05076800,7.17100758,7.56699219,7.39383414,7.09514984,6.82968991
SYN_Solyc_0078,8.67036850,9.02786837,8.98975693,8.69856109,8.71815632,9.11253483
SYN_Solyc_0079,7.28753053,7.64489471,7.44651229,7.29054075,7.50147107,7.16111517
SYN_Solyc_0080,9.31629844,9.26972650,9.00072997,8.75554920,9.50655033,9.01413250
SYN_Solyc_0081,6.62827430,7.07636775,6.44345027,6.60974688,6.42919683,6.68035392
SYN_Solyc_0082,11.24413967,11.19674378,11.66614260,11.24762406,11.02994198,11.68022680
SYN_Solyc_0083,6.10650422,6.18492769,6.33922390,6.06965664,6.73897210,6.52392179
SYN_Solyc_0084,10.02610530,10.35508549,10.48972764,9.93967541,10.17760269,10.17691641
SYN_Solyc_0085,10.42857740,10.08771474,10.02458637,9.94296240,10.39913840,9.74584575
SYN_Solyc_0086,11.20603156,11.22631288,11.20766621,11.25118858,11.27286483,10.73717413
SYN_Solyc_0087,8.47332314,8.44821924,9.00110344,8.54857762,8.84566823,8.45133211
SYN_Solyc_0088,10.12044283,10.76651728,10.44563702,10.63707651,10.24042675,10.41856689
SYN_Solyc_0089,11.29064604,10.89917522,11.35681538,11.02710509,11.05867401,11.44998214
SYN_Solyc_0090,10.87637816,10.13245907,10.43397088,10.73304358,10.45846897,10.55032764
SYN_Solyc_0091,6.76581904,6.72832154,6.57298686,6.16581059,6.81068476,6.42517099
SYN_Solyc_0092,6.38846341,6.45029405,6.60666351,6.44056907,6.32148821,6.45033085
SYN_Solyc_0093,9.01028646,9.47821616,9.73846135,9.69478335,9.78869640,9.29386297
SYN_Solyc_0094,9.51731985,9.97532807,10.08480849,9.56383991,9.73862122,9.72530179
SYN_Solyc_0095,11.84820459,11.45249987,11.50764933,12.02523897,11.42754669,11.85368406
SYN_Solyc_0096,6.02873110,6.22343625,6.12350131,5.78241286,6.29111122,6.05049592
SYN_Solyc_0097,11.92369945,11.34400787,11.21022427,11.25619909,11.18912092,11.31753869
SYN_Solyc_0098,7.50546568,7.31449492,7.48719405,7.57209052,7.37801134,7.72442225
SYN_Solyc_0099,7.65230814,7.50207771,7.33182675,7.55129650,7.15196470,7.21096590
SYN_Solyc_0100,9.34478623,9.77708579,9.18642670,9.19746527,9.37825300,9.04061791
SYN_Solyc_0101,10.15160213,10.15340543,10.53254458,10.12022932,10.52988601,10.61651990
SYN_Solyc_0102,8.33838584,8.00936232,7.86495705,7.95908451,8.07346506,8.44901858
SYN_Solyc_0103,10.54615301,10.83609191,10.55983948,10.91256686,10.87210054,10.76006898
SYN_Solyc_0104,9.82640766,10.01341798,10.37879045,10.54081811,9.83018008,10.01630969
SYN_Solyc_0105,10.54549665,10.67558144,11.01591888,10.72680719,10.84609532,10.70987371
SYN_Solyc_0106,8.40832451,8.62559731,8.15001872,8.34623283,8.35972169,8.41957192
SYN_Solyc_0107,10.79722231,10.23185135,10.83233837,10.63283838,10.14689966,10.37944133
SYN_Solyc_0108,8.11209417,8.19282288,7.96314331,8.16202627,8.31461996,7.99304621
SYN_Solyc_0109,10.33833464,9.80526505,10.32441263,10.67535174,10.27846781,9.94751640
SYN_Solyc_0110,8.04569638,8.47351321,8.27346527,8.29640190,8.13956659,8.35164421
SYN_Solyc_0111,11.37121761,10.79568213,10.94860371,11.33356230,11.06202156,11.08430730
SYN_Solyc_0112,7.47860035,7.08793464,7.47637022,7.46982866,7.18902501,7.03505512
SYN_Solyc_0113,8.50557068,8.82817271,8.38207259,8.77886475,8.17662242,8.52753565
SYN_Solyc_0114,11.96142075,11.86978009,11.60849463,11.86754772,11.80889220,11.96898700
SYN_Solyc_0115,7.26304815,7.37500483,7.86919070,7.48574018,7.83470432,7.50615519
SYN_Solyc_0116,10.82717732,10.86141951,11.32743213,10.85729148,11.25953204,11.38352898
SYN_Solyc_0117,8.11429470,7.91708185,7.93261982,8.15029444,8.16503635,8.00131536
SYN_Solyc_0118,6.79830062,6.47083837,6.75922235,6.49580376,6.78387409,6.65836267
SYN_Solyc_0119,9.01645381,8.61790082,8.84074800,8.50925042,9.24055164,8.84572522
SYN_Solyc_0120,9.45088093,9.51311248,9.52861792,9.64654256,9.18424547,9.06269922
