gene_id,log2FoldChange,pvalue,padj
SYN_Solyc_0038,-2.40146675,0.00039272,0.00475044
SYN_Solyc_0039,-1.68919509,0.00298196,0.01202012
SYN_Solyc_0040,-1.68648825,0.00300503,0.01202012
SYN_Solyc_0041,0.00575540,0.93388488,0.94527531
SYN_Solyc_0042,0.19666260,0.39934472,0.88412291
SYN_Solyc_0043,0.06997915,0.75405838,0.89832511
SYN_Solyc_0044,-0.15799526,0.50761327,0.88412291
SYN_Solyc_0045,0.15231362,0.52352186,0.88412291
SYN_Solyc_0046,-0.11126004,0.63847189,0.89832511
SYN_Solyc_0047,0.05448169,0.79745127,0.90079520
SYN_Solyc_0048,-0.08609316,0.70893915,0.89832511
SYN_Solyc_0049,0.15828371,0.50680561,0.88412291
SYN_Solyc_0050,0.13287735,0.57794342,0.89832511
SYN_Solyc_0051,0.15774167,0.50832332,0.88412291
SYN_Solyc_0052,0.06743066,0.76119415,0.89832511
SYN_Solyc_0053,0.22832267,0.31069652,0.79326771
SYN_Solyc_0054,-0.06390629,0.77106239,0.89832511
SYN_Solyc_0055,-0.07307140,0.74540008,0.89832511
SYN_Solyc_0056,-0.19273159,0.41035155,0.88412291
SYN_Solyc_0057,0.00487155,0.93635966,0.94527531
SYN_Solyc_0058,-0.20862705,0.36584426,0.87802622
SYN_Solyc_0059,0.06624112,0.76452486,0.89832511
SYN_Solyc_0060,0.18053993,0.44448820,0.88412291
SYN_Solyc_0061,0.12237170,0.60735924,0.89832511
SYN_Solyc_0062,0.10586967,0.65356492,0.89832511
SYN_Solyc_0063,-0.22293833,0.32577268,0.80547664
SYN_Solyc_0064,0.09028899,0.69719083,0.89832511
SYN_Solyc_0065,0.23271863,0.29838784,0.79326771
SYN_Solyc_0066,-0.06503203,0.76791032,0.89832511
SYN_Solyc_0067,-0.03572419,0.84997227,0.92724248
SYN_Solyc_0068,0.05155867,0.80563572,0.90079520
SYN_Solyc_0069,0.02028808,0.89319338,0.94261069
SYN_Solyc_0070,0.13752610,0.56492692,0.89198987
SYN_Solyc_0071,-0.14318903,0.54907072,0.88412291
SYN_Solyc_0072,0.17866127,0.44974844,0.88412291
SYN_Solyc_0073,-0.15204501,0.52427397,0.88412291
SYN_Solyc_0074,0.11128542,0.63840082,0.89832511
SYN_Solyc_0075,-0.14654784,0.53966605,0.88412291
SYN_Solyc_0076,0.23001567,0.30595612,0.79326771
SYN_Solyc_0077,-0.15669796,0.51124571,0.88412291
SYN_Solyc_0078,-0.05291385,0.80184122,0.90079520
SYN_Solyc_0079,-0.14193685,0.55257682,0.88412291
SYN_Solyc_0080,-0.10350763,0.66017864,0.89832511
SYN_Solyc_0081,-0.14293156,0.54979163,0.88412291
SYN_Solyc_0082,-0.04974440,0.81071568,0.90079520
SYN_Solyc_0083,0.23396491,0.29489825,0.79326771
SYN_Solyc_0084,-0.19224131,0.41172433,0.88412291
SYN_Solyc_0085,-0.15097732,0.52726350,0.88412291
SYN_Solyc_0086,-0.12626104,0.59646909,0.89832511
SYN_Solyc_0087,-0.02568929,0.87806999,0.94078927
SYN_Solyc_0088,-0.01217566,0.91590815,0.94527531
SYN_Solyc_0089,-0.00362513,0.93984964,0.94527531
SYN_Solyc_0090,0.09967736,0.67090339,0.89832511
SYN_Solyc_0091,-0.22182037,0.32890296,0.80547664
SYN_Solyc_0092,-0.07767761,0.73250269,0.89832511
SYN_Solyc_0093,0.18345958,0.43631318,0.88412291
SYN_Solyc_0094,-0.18323116,0.43695275,0.88412291
SYN_Solyc_0095,0.16603864,0.48509181,0.88412291
SYN_Solyc_0096,-0.08388289,0.71512791,0.89832511
SYN_Solyc_0097,-0.23835763,0.28259864,0.79326771
SYN_Solyc_0098,0.12245649,0.60712183,0.89832511
SYN_Solyc_0099,-0.19066183,0.41614688,0.88412291
SYN_Solyc_0100,-0.23065418,0.30416830,0.79326771
SYN_Solyc_0101,0.14302770,0.54952244,0.88412291
SYN_Solyc_0102,0.08962098,0.69906126,0.89832511
SYN_Solyc_0103,0.20088399,0.38752483,0.88412291
SYN_Solyc_0104,0.05623060,0.79255432,0.90079520
SYN_Solyc_0105,0.01525975,0.90727270,0.94527531
SYN_Solyc_0106,-0.01947137,0.89548016,0.94261069
SYN_Solyc_0107,-0.23407755,0.29458286,0.79326771
SYN_Solyc_0108,0.06721069,0.76181007,0.89832511
SYN_Solyc_0109,0.14444121,0.54556461,0.88412291
SYN_Solyc_0110,-0.00168739,0.94527531,0.94527531
SYN_Solyc_0111,0.12146257,0.60990480,0.89832511
SYN_Solyc_0112,-0.11633214,0.62427001,0.89832511
SYN_Solyc_0113,-0.07759772,0.73272638,0.89832511
SYN_Solyc_0114,0.06857715,0.75798398,0.89832511
SYN_Solyc_0115,0.10645200,0.65193440,0.89832511
SYN_Solyc_0116,0.16144118,0.49796470,0.88412291
SYN_Solyc_0117,0.11754993,0.62086020,0.89832511
SYN_Solyc_0118,-0.03010694,0.86570057,0.93589251
SYN_Solyc_0119,0.04014155,0.83760366,0.92213247
SYN_Solyc_0120,-0.19970803,0.39081752,0.88412291
